"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"162",13.2,1,3.2,"made",0.6,1,2,0,7
"163",17,2,7.9,"missed",1.8,1,2,1,3.5
"164",10.1,3,2.6,"made",0.9,2,2,0,0.3
"165",7,4,7.9,"missed",6,2,2,2,2.3
"166",14.5,5,1.5,"made",0,2,2,0,2.5
"167",11.6,6,8.8,"made",4.3,2,2,1,1.8
"168",8.7,7,7.5,"made",3.1,3,2,2,2
"169",12.5,8,4.7,"missed",6,3,2,2,1.4
"170",1,9,0.5,"missed",2.9,3,2,2,2.5
"171",15,10,1,"made",4.7,4,2,2,2.1
"172",8.1,11,6.9,"made",6.7,4,2,3,1.9
"173",14.9,1,2,"made",0.6,1,2,0,3.6
"174",19.3,2,1.4,"made",0.9,1,2,0,1.1
"175",9.2,3,6.9,"missed",7.6,2,2,1,2.5
"176",22,4,3.8,"missed",1.8,2,2,1,1.6
"177",9.1,5,7.6,"made",2,3,2,0,4
"178",19.2,6,2.4,"made",0.3,3,2,0,3.3
"179",10.3,7,1.7,"made",1,3,2,0,3.2
"180",8.6,8,5.7,"missed",2.6,3,2,1,0.1
"181",5.2,9,2.6,"made",0.6,3,2,0,5.8
"182",5.8,10,4.1,"made",4.6,4,2,2,0.1
"183",15,1,4.9,"missed",2.5,1,2,1,5.4
"184",6.6,2,2.8,"missed",6.8,1,2,3,3.4
"185",7.2,3,2.7,"made",0.4,1,2,0,2.5
"186",9.7,4,6.3,"missed",3.6,1,2,0,2.8
"187",11.6,5,4.5,"made",2.8,1,2,0,2.2
"188",4.8,6,2.3,"missed",4.3,2,2,1,2.3
"189",14,7,2.3,"missed",1.6,2,2,0,2.1
"190",5.5,8,6.5,"made",0.7,3,2,0,3.2
"191",14.7,9,4.5,"missed",2.2,3,2,1,2.6
"192",13,10,4.1,"made",0.7,3,2,0,2.1
"193",23.8,11,1.9,"missed",0.4,4,2,0,3.1
"194",8.9,12,5,"made",6.9,4,2,3,2.8
"195",7.9,13,4.1,"missed",3.7,4,2,1,1
"196",9.3,14,2.3,"made",0.6,4,2,0,3
"197",19.5,15,2.9,"made",0.4,4,2,0,4.1
"198",7.3,1,6.5,"missed",1.2,1,2,0,2.8
"199",3.5,2,20.8,"missed",1,1,2,0,7.9
"200",16,3,3.4,"made",1.1,1,2,0,5.2
"201",23.4,4,5.4,"missed",3.6,1,2,0,1
"202",23.3,5,5.7,"missed",0,1,2,0,1.2
"203",17,6,0.7,"missed",2.9,1,2,1,2
"204",9.6,7,2.5,"missed",4.3,2,2,1,0.2
"205",7,8,2,"missed",3.7,2,2,1,1.2
"206",17.9,9,3.7,"made",2.4,2,2,1,3.3
"207",10.6,10,4.4,"made",0.4,2,2,0,2.6
"208",15,11,1.4,"made",2.2,2,2,0,0.2
"209",6.6,12,8,"missed",4.1,3,2,0,1.3
"210",10,13,5.6,"missed",4,4,2,0,2.1
"211",19.5,14,0.7,"made",0.2,4,2,0,1.7
"212",20.5,15,2.5,"made",1.2,4,2,0,10.2
"213",3.3,16,3.2,"made",0.7,4,2,0,2.3
"214",15,1,2.9,"made",1,1,2,0,2.3
"215",10.5,2,5.4,"missed",4.9,1,2,2,2.4
"216",18.7,3,2.1,"made",0.2,2,2,0,7
"217",24,4,1.6,"made",0.7,2,2,0,2
"218",8.4,5,6.6,"made",1.6,3,2,0,1.4
"219",22.6,6,5.9,"made",1.7,3,2,0,2.1
"220",3.1,7,5.9,"made",5.7,4,2,1,0.6
"221",4.7,8,6.8,"made",4.1,4,2,0,2
"222",7.1,9,7.4,"missed",4.4,4,2,1,3.8
"223",8.9,10,2.4,"made",1.1,4,2,0,0
"224",24,11,1.8,"made",0.5,4,2,0,5.3
"225",13.9,1,1.1,"made",1.3,1,2,1,2.4
"226",12.6,2,5.2,"made",3.7,1,2,1,2.2
"227",12,3,5.2,"missed",5.2,1,2,1,2.2
"228",13,4,4,"missed",3,1,2,1,2.2
"229",18,5,4.1,"missed",1.8,2,2,1,1.4
"230",22.9,6,1.1,"made",1.8,2,2,0,1.6
"231",9.6,7,5.7,"made",2.7,3,2,1,2.5
"232",14.6,8,4.4,"made",0.8,3,2,0,2.6
"233",8.9,9,3.4,"missed",2.7,3,2,1,1.9
"234",13,10,4.7,"missed",3.3,3,2,1,0.4
"235",8.5,11,3.1,"made",0.3,3,2,0,2.4
"236",11.1,1,1,"missed",4.4,1,2,3,1.8
