"","GAME_CLOCK","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES"
"342",00:10:00,2.7,16,4.9,"made",21.2,2,2,24
"343",11:46:00,9.9,17,23.1,"missed",6.2,3,3,1
"344",11:31:00,10.5,18,24.7,"made",1.2,4,3,0
"345",10:31:00,11,19,16.5,"made",12.8,4,2,14
"346",09:45:00,9.1,20,27.8,"made",15,4,3,16
"347",09:24:00,18.8,21,23.1,"missed",0.7,4,3,0
"348",07:37:00,4.7,22,28.5,"missed",1.1,4,3,0
"349",05:51:00,5.9,23,22.3,"missed",15.8,4,2,18
"350",05:20:00,4.4,24,9.6,"missed",18.8,4,2,19
"351",04:13:00,7.9,25,15.1,"made",6,4,2,4
"352",11:04:00,14,1,4,"missed",2.8,1,2,2
"353",08:35:00,6.7,2,25.5,"missed",2.6,1,3,2
"354",02:35:00,17.3,3,6.7,"made",6.3,1,2,7
"355",00:02:00,NA,4,7,"made",14.1,1,2,15
"356",08:31:00,11.8,5,6.2,"made",8.8,2,2,8
"357",07:51:00,21.7,6,3.6,"made",2.4,2,2,2
"358",07:24:00,11.1,7,5.4,"made",1.4,2,2,1
"359",06:46:00,21.9,8,1.7,"made",3.2,2,2,3
"360",06:10:00,22.2,9,0.5,"made",1.4,2,2,0
"361",11:30:00,10.7,10,4.3,"missed",5.4,3,2,3
"362",11:25:00,22.8,11,25,"made",0.7,3,3,0
"363",07:42:00,21.4,12,25.2,"made",2.2,3,3,2
"364",06:31:00,11.9,13,26.7,"missed",1.8,3,3,0
"365",06:07:00,12.4,14,20.6,"missed",2.6,3,2,0
"366",03:26:00,13,15,4.2,"missed",1,3,2,0
"367",08:13:00,19.2,1,3,"made",2.2,1,2,2
"368",07:50:00,16,2,17.2,"missed",2.9,1,2,2
"369",05:20:00,9,3,25.2,"missed",4.8,1,3,0
"370",04:36:00,19.1,4,7.8,"made",5.8,1,2,5
"371",00:02:00,NA,5,9.4,"missed",5.2,1,2,5
"372",11:34:00,17.9,6,2.8,"made",3.1,2,2,1
"373",07:28:00,18.4,7,7.3,"made",4.2,2,2,4
"374",03:38:00,21,8,1.2,"made",1.1,2,2,0
"375",01:16:00,10.6,9,21.9,"missed",6.2,2,2,1
"376",00:30:00,17.5,10,22.1,"missed",6.4,2,3,13
"377",08:02:00,21.5,11,2.9,"made",0.7,3,2,0
"378",07:24:00,11.3,12,7.9,"missed",1.6,3,2,1
"379",05:02:00,4,13,6,"made",7.2,3,2,7
"380",06:29:00,1.3,14,8.4,"missed",6.5,4,2,8
"381",05:12:00,4.1,15,16.6,"missed",7.1,4,2,1
"382",04:19:00,11.7,16,8.7,"made",5.4,4,2,1
"383",09:36:00,13,1,20.9,"made",8.1,1,2,9
"384",07:28:00,10.4,2,14.9,"missed",0.9,1,2,0
"385",07:05:00,19.4,3,3.4,"made",1.6,1,2,0
"386",01:54:00,7.6,4,27,"missed",8.8,1,3,0
"387",00:39:00,10.7,5,4.2,"missed",13.1,1,2,13
"388",10:12:00,17,6,2.4,"made",6.6,2,2,8
"389",08:11:00,10.5,7,6.7,"made",3.6,2,2,1
"390",05:17:00,6.7,8,21.4,"missed",16.8,2,2,19
"391",04:46:00,19.1,9,24.7,"missed",4.5,2,3,4
"392",03:41:00,5.5,10,9.4,"missed",6.6,2,2,3
"393",02:48:00,19.1,11,8.5,"made",1.6,2,2,0
"394",01:44:00,10.1,12,2.9,"made",2.7,2,2,2
"395",09:09:00,14,13,0.9,"missed",1,3,2,0
"396",08:37:00,9,14,25.1,"missed",2.4,3,3,2
"397",07:32:00,3.1,15,23.7,"made",12.3,3,2,8
"398",04:21:00,9.3,16,12.6,"made",14.5,3,2,17
"399",10:56:00,10.6,17,13.9,"made",4.8,4,2,1
"400",09:03:00,8.8,18,15.8,"missed",2.9,4,2,0
"401",08:48:00,12,19,17.8,"made",5.2,4,2,2
"402",08:10:00,2.3,20,22.9,"missed",6.9,4,2,5
"403",06:55:00,3,21,5.3,"made",8.2,4,2,5
"404",05:52:00,3.8,22,9.7,"missed",11.2,4,2,11
"405",05:51:00,3.8,23,10.1,"made",0,4,2,0
"406",08:39:00,9.9,1,27.4,"missed",5.3,1,3,3
"407",06:27:00,18.8,2,6.1,"made",5.3,1,2,4
"408",02:18:00,10.7,3,5.3,"made",3.8,1,2,3
"409",00:22:00,1,4,25.3,"missed",7.5,1,3,0
"410",11:08:00,10.3,5,21.7,"made",3.5,2,2,4
"411",09:36:00,8.6,6,24.6,"made",3.1,2,3,0
"412",08:10:00,12.7,7,19,"missed",6.3,2,2,5
"413",05:28:00,12,8,20.8,"missed",3.3,2,2,2
"414",04:30:00,14.5,9,5.9,"made",5.1,2,2,5
"415",01:08:00,9.9,10,4.9,"missed",13.3,2,2,15
"416",11:15:00,22.9,11,7.2,"made",3.5,3,2,1
"417",10:41:00,17.3,12,5.5,"missed",6.4,3,2,7
"418",08:35:00,12,13,18.2,"missed",10.2,3,2,14
"419",06:36:00,0.2,14,23.5,"missed",1.2,3,3,0
"420",05:52:00,5.6,15,2.8,"made",0,3,2,0
"421",10:34:00,9.2,16,25.7,"made",9.6,4,3,9
"422",09:59:00,6.3,17,7.6,"missed",16.1,4,2,16
"423",09:51:00,23,18,25.4,"missed",4,4,3,1
"424",09:07:00,24,19,14.6,"made",0,4,2,0
"425",08:42:00,9,20,25.6,"missed",14.6,4,3,14
"426",06:33:00,11.9,21,21.5,"made",2.2,4,2,1
"427",04:37:00,1.5,22,26,"made",3.5,4,3,0
"428",03:57:00,3.5,23,20.3,"missed",13.2,4,2,15
"429",10:46:00,6.9,1,28.2,"missed",2.5,1,3,0
"430",07:06:00,3.2,2,2.7,"made",7.7,1,2,1
"431",10:41:00,9.6,3,21.4,"missed",2.7,2,2,0
"432",10:37:00,21.8,4,26.7,"missed",1.5,2,3,0
"433",08:31:00,13,5,8,"made",6.9,2,2,6
"434",07:35:00,13.1,6,1.7,"made",3.7,2,2,2
"435",06:41:00,17.7,7,8.6,"made",6,2,2,5
